,doc_id,source,investigation_num,modified_title,modified_creator,modified_modified,modified_occurence_date,modified_release_date,doc_length
60,60,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19t0107/r19t0107.html,R19T0107,Railway Investigation Report R04E0027 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-24,4 March 2004,25 October 2005,3039
61,61,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19t0147/r19t0147.html,R19T0147,Railway Investigation Report R04H0009 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-25,28 June 2004,10 January 2006,3249
62,62,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19v0002/r19v0002.html,R19V0002,Railway Investigation Report R04H0014 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-25,6 October 2004,15 February 2006,3112
63,63,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19w0002/r19w0002.html,R19W0002,Railway Investigation Report R04M0032 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-25,18 April 2004,21 March 2005,2609
64,64,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19w0017/r19w0017.html,R19W0017,Railway Investigation Report R04Q0006 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-26,7 February 2004,10 January 2006,3919
65,65,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19w0050/r19w0050.html,R19W0050,Railway Investigation Report R04Q0016 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-26,17 March 2004,22 December 2004,812
66,66,https://tsb.gc.ca/eng/enquetes-investigations/rail/2018/r18h0105/r18h0105.html,R18H0105,Railway Investigation Report R04Q0040 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-26,17 August 2004,27 September 2007,3957
67,67,https://tsb.gc.ca/eng/enquetes-investigations/rail/2018/r18d0096/r18d0096.html,R18D0096,Railway Investigation Report R04Q0047 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-26,12 November 2004,26 September 2005,1401
68,68,https://tsb.gc.ca/eng/enquetes-investigations/rail/2018/r18m0037/r18m0037.html,R18M0037,Railway Investigation Report R04S0001 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-26,8 January 2004,01 December 2004,1950
69,69,https://tsb.gc.ca/eng/enquetes-investigations/rail/2018/r18w0237/r18w0237.html,R18W0237,Railway Investigation Report R04T0008 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-27,14 January 2004,,11471
