doc_id,source,investigation_num,chunk_id,chunk_length,title,creator,modified,occurence_date,release_date
308,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08t0158/r08t0158.html,R08T0158,308_5856,149,Rail transportation safety investigation R19W0002 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2022-08-24,3 January 2019,
308,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08t0158/r08t0158.html,R08T0158,308_5857,139,Rail transportation safety investigation R19W0002 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2022-08-24,3 January 2019,
308,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08t0158/r08t0158.html,R08T0158,308_5858,130,Rail transportation safety investigation R19W0002 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2022-08-24,3 January 2019,
308,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08t0158/r08t0158.html,R08T0158,308_5859,132,Rail transportation safety investigation R19W0002 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2022-08-24,3 January 2019,
308,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08t0158/r08t0158.html,R08T0158,308_5860,142,Rail transportation safety investigation R19W0002 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2022-08-24,3 January 2019,
308,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08t0158/r08t0158.html,R08T0158,308_5861,145,Rail transportation safety investigation R19W0002 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2022-08-24,3 January 2019,
308,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08t0158/r08t0158.html,R08T0158,308_5862,145,Rail transportation safety investigation R19W0002 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2022-08-24,3 January 2019,
308,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08t0158/r08t0158.html,R08T0158,308_5863,149,Rail transportation safety investigation R19W0002 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2022-08-24,3 January 2019,
308,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08t0158/r08t0158.html,R08T0158,308_5864,166,Rail transportation safety investigation R19W0002 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2022-08-24,3 January 2019,
308,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08t0158/r08t0158.html,R08T0158,308_5865,147,Rail transportation safety investigation R19W0002 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2022-08-24,3 January 2019,
308,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08t0158/r08t0158.html,R08T0158,308_5866,148,Rail transportation safety investigation R19W0002 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2022-08-24,3 January 2019,
308,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08t0158/r08t0158.html,R08T0158,308_5867,155,Rail transportation safety investigation R19W0002 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2022-08-24,3 January 2019,
308,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08t0158/r08t0158.html,R08T0158,308_5868,177,Rail transportation safety investigation R19W0002 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2022-08-24,3 January 2019,
308,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08t0158/r08t0158.html,R08T0158,308_5869,179,Rail transportation safety investigation R19W0002 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2022-08-24,3 January 2019,
308,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08t0158/r08t0158.html,R08T0158,308_5870,162,Rail transportation safety investigation R19W0002 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2022-08-24,3 January 2019,
308,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08t0158/r08t0158.html,R08T0158,308_5871,43,Rail transportation safety investigation R19W0002 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2022-08-24,3 January 2019,
309,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08v0270/r08v0270.html,R08V0270,309_5872,156,Rail transportation safety investigation R19W0017 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-06-04,22 January 2019,22 January 2019
309,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08v0270/r08v0270.html,R08V0270,309_5873,147,Rail transportation safety investigation R19W0017 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2020-06-04,22 January 2019,22 January 2019
